id,name,logo,image,bio,website
1,Departamento en Estudios en Ingeniería para la Innovación (DEII),static/images/sponsors/DeiiLogo.png,static/images/sponsors/DeiiWide.png,"El DEII es un pilar fundamental para nuestro proyecto, proveyendo recursos, materiales y el invaluable conocimiento de sus académicos para fomentar la innovación y el desarrollo tecnológico dentro de la Universidad Iberoamericana.",https://deii.ibero.mx/
2,Instituto de Investigación Aplicada y Tecnología (InIAT),static/images/sponsors/IniatLogo.png,static/images/sponsors/IniatWide.png,"Agradecemos al InIAT por brindarnos acceso a sus laboratorios de vanguardia, herramientas especializadas y el tiempo de su personal experto, elementos cruciales para la experimentación y las pruebas de nuestros prototipos.",https://iniat.ibero.mx/
4,BeWealthy,static/uploads/sponsor_4_logo_Bewealthy.svg,static/uploads/sponsor_4_image_BWT_Landscape_Alt_ByFnt.png,"BeWealthy es el asesor financiero digital diseñado para quienes buscan invertir con seguridad y confianza. Diseñamos estrategias personalizadas que optimizan tu capital sin complicaciones.

Invertimos a través de ETFs (Exchange Traded Funds), permitiendo una diversificación eficiente en mercados globales y sectores estratégicos. Nuestro enfoque es simple, seguro y transparente.",https://www.finantech.com.mx/bewealthy
